Cast Vote Record,Rep. to Congress 1st Choice District 2,Rep. to Congress 2nd Choice District 2,Rep. to Congress 3rd Choice District 2,Rep. to Congress 4th Choice District 2
438,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
439,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
442,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
443,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
444,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
445,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.","REP Poliquin, Bruce"
446,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote
448,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
451,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
454,undervote,undervote,undervote,undervote
459,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F."
460,"DEM Golden, Jared F. (5471)","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
462,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
465,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote
466,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote
467,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
468,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
470,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","DEM Golden, Jared F.",undervote
471,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
472,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
475,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
477,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F."
478,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
479,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
482,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
483,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
484,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
485,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
487,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
488,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
489,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
490,overvote,undervote,undervote,undervote
492,"Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
493,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote
496,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L."
497,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
499,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
501,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
505,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
509,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
511,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
512,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
514,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
517,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
518,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
520,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
521,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.",undervote
523,"REP Poliquin, Bruce (5931)","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
526,"Bond, Tiffany L.",undervote,undervote,undervote
529,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
530,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
531,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
534,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
535,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
536,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
537,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
538,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
540,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
542,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
546,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
548,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
550,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
552,"DEM Golden, Jared F. (5471)",undervote,"Bond, Tiffany L.","Hoar, William R.S."
553,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.",undervote
556,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
558,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
559,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
561,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
